Ticker,Current Price,Market Cap,P/E Ratio,Dividend Yield,Yahoo Rating,Market Index Rating
14D.AX,0.019999999552965164,6124800,,,,
29M.AX,0.4350000023841858,596532928,,,,
T3D.AX,0.25,47213500,Infinity,,,
TGP.AX,0.30000001192092896,59061304,15.000001,,,
TCF.AX,6.019999980926514,46014172,9.2615385,10.81,,
TOT.AX,0.4300000071525574,94156672,43.0,6.98,,
TDO.AX,0.14000000059604645,46686356,,,,
3PL.AX,0.6449999809265137,176025008,Infinity,,,
4DX.AX,1.6749999523162842,1083081728,,,,
4DS.AX,0.009999999776482582,24730800,,,,
5EA.AX,0.5849999785423279,131281592,,,,
5GN.AX,0.14000000059604645,42097300,,,,
88E.AX,0.023000000044703484,26619050,,,,
8CO.AX,0.05000000074505806,11204751,,,,
8IH.AX,0.010999999940395355,3939529,,,,
ABG.AX,1.2050000429153442,1090262400,40.166668,7.05,,
ASK.AX,1.4049999713897705,1846310400,6.3863635,4.41,,
ABX.AX,0.07699999958276749,19394914,,,,
AKG.AX,0.10999999940395355,14587540,,,,
AX8.AX,0.007000000216066837,5720323,,,,
AX1.AX,1.3450000286102295,823624192,13.45,5.2,,
ACS.AX,0.006000000052154064,2937222,,,,
ADC.AX,0.06400000303983688,4860384,,,,
ACQ.AX,0.8999999761581421,81087120,8.181818,6.11,,
ACF.AX,1.024999976158142,315702016,14.642857,5.76,,
ACR.AX,0.014000000432133675,5729696,,,,
ACW.AX,0.02800000086426735,88913448,,,,
ATV.AX,0.020999999716877937,22482810,,,,
AIV.AX,0.017999999225139618,3879054,,,,
ACU.AX,0.07400000095367432,16498671,7.4,2.97,,
ACE.AX,0.9350000023841858,131712504,,,,
ADH.AX,2.569999933242798,461296608,18.642857,3.07,,
1AD.AX,0.0035000001080334187,3963959,,,,
ADD.AX,0.026000000536441803,5300646,,,,
ADG.AX,0.006000000052154064,13901040,,,,
ADR.AX,0.006000000052154064,2000640,,,,
AI1.AX,0.06499999761581421,47792288,,,,
ADY.AX,0.006000000052154064,15776880,,,,
AD1.AX,0.03999999910593033,15602040,,,,
ABY.AX,1.0399999618530273,101474560,104.0,,,
AHL.AX,0.7900000214576721,64229452,9.875001,4.41,,
ADS.AX,0.0010000000474974513,5717030,,,,
AVM.AX,0.04800000041723251,14877552,,,,
ANO.AX,1.100000023841858,68910712,55.000004,,,
ABV.AX,0.11999999731779099,53710560,Infinity,,,
AHI.AX,0.09200000017881393,24777622,,,,
AV1.AX,0.15000000596046448,138421664,,,,
ADX.AX,0.027000000700354576,15753394,,,,
AER.AX,0.06300000101327896,4639880,,,,
AEI.AX,0.04600000008940697,11341070,,,,
AIS.AX,0.3149999976158142,305997920,6.2999997,,,
AMX.AX,0.19499999284744263,18523166,,,,
AFL.AX,0.11999999731779099,11429448,Infinity,,,
A1G.AX,0.33000001311302185,175354736,,,,
AFP.AX,2.309999942779541,246809632,23.099998,0.48,,
AGL.AX,8.239999771118164,5543435264,,6.07,,
AMN.AX,0.09099999815225601,35028536,,,,
AGR.AX,0.024000000208616257,38526000,,,,
AIM.AX,0.6499999761581421,136197088,,,,
A1M.AX,0.33000001311302185,263214592,11.000001,,,
APW.AX,3.25,144686752,2.7542374,,,
AGI.AX,1.0700000524520874,363737984,17.833334,,,
AIZ.AX,0.5299999713897705,1775860352,17.666666,3.61,,
ART.AX,0.41499999165534973,190912448,,,,
AJL.AX,0.009999999776482582,13757300,,,,
AKO.AX,0.0989999994635582,14591906,,,,
AUQ.AX,0.04600000008940697,38548184,,,,
ALB.AX,0.09300000220537186,13223020,,,,
ALY.AX,0.007000000216066837,8246560,,,,
ALC.AX,0.08900000154972076,122208568,Infinity,,,
AAI.AX,48.22999954223633,12656950272,7.4544053,0.99,,
ARN.AX,0.4699999988079071,102331696,,,,
AJX.AX,0.006000000052154064,9518580,,,,
AAL.AX,0.5199999809265137,149025760,13.0,6.54,,
1AI.AX,0.008500000461935997,14293201,,,,
AQI.AX,0.041999999433755875,35622004,,,,
AQX.AX,0.004000000189989805,5538800,,,,
ALK.AX,1.149999976158142,1569611904,23.0,,,
AQZ.AX,2.3499999046325684,383245056,6.527777,1.28,,
AXN.AX,0.035999998450279236,29759436,,,,
AGE.AX,0.023000000044703484,101891144,,,,
ALM.AX,0.004000000189989805,9253681,,,,
AII.AX,6.820000171661377,1529692032,,,,
A4N.AX,0.8700000047683716,995114752,,,,
ALQ.AX,18.8799991607666,9575936000,36.307693,2.09,,
ALR.AX,0.01899999938905239,86388064,,,,
AZI.AX,0.020999999716877937,12639059,,,,
ATC.AX,0.03200000151991844,83657920,,,,
ATH.AX,0.013000000268220901,119713752,,,,
