Ticker,Company
AAPL,Apple Inc.
MSFT,Microsoft Corporation
GOOGL,Alphabet Inc.
AMZN,Amazon.com Inc.
TSLA,Tesla Inc.
META,Meta Platforms Inc.
NVDA,NVIDIA Corporation
ADBE,Adobe Inc.
CRM,Salesforce Inc.
ORCL,Oracle Corporation
IBM,International Business Machines
INTC,Intel Corporation
JPM,JPMorgan Chase & Co.
BAC,Bank of America Corp.
WFC,Wells Fargo & Company
GS,Goldman Sachs Group Inc.
MS,Morgan Stanley
V,Visa Inc.
MA,Mastercard Inc.
AXP,American Express Company
JNJ,Johnson & Johnson
UNH,UnitedHealth Group Inc.
PFE,Pfizer Inc.
ABBV,AbbVie Inc.
TMO,Thermo Fisher Scientific
ABT,Abbott Laboratories
CVS,CVS Health Corporation
PG,Procter & Gamble Co.
KO,Coca-Cola Company
PEP,PepsiCo Inc.
WMT,Walmart Inc.
HD,Home Depot Inc.
MCD,McDonald's Corporation
NKE,Nike Inc.
SBUX,Starbucks Corporation
XOM,Exxon Mobil Corporation
CVX,Chevron Corporation
GE,General Electric Company
CAT,Caterpillar Inc.
BA,Boeing Company
MMM,3M Company
DIS,Walt Disney Co.
NFLX,Netflix Inc.
CMCSA,Comcast Corporation
VZ,Verizon Communications
T,AT&T Inc.
SPG,Simon Property Group
AMT,American Tower Corporation
NEE,NextEra Energy Inc.
DUK,Duke Energy Corporation
BRK.B,Berkshire Hathaway Inc.
