Timestamp,Ticker,Action,Qty,Price,Score
2025-06-26 08:00:12,MSFT,BUY,2.031,492.38,0.79
2025-06-27 08:00:13,META,BUY,1.3774,726.03,0.62
2025-07-01 08:34:47,EXFY,BUY,11.5385,2.6,0.75
2025-07-02 08:00:09,KHC,BUY,1.1278,26.6,0.71
2025-07-02 08:00:09,PL,BUY,4.8701,6.16,0.84
2025-07-02 08:00:12,AFRM,SELL,0.4335,67.11,0.94
2025-07-02 08:00:13,LDI,BUY,23.2558,1.29,0.75
2025-07-02 08:00:14,NBIS,BUY,0.5962,50.32,0.62
2025-07-02 08:00:15,ZNTL,BUY,25,1.2,0.6
2025-07-02 08:00:15,EXFY,BUY,11.5163,2.6,0.87
2025-07-02 10:34:58,KHC,BUY,1.1278,26.6,0.71
2025-07-02 10:34:58,PL,BUY,4.8701,6.16,0.84
2025-07-02 10:35:02,LDI,BUY,23.2558,1.29,0.75
2025-07-02 10:35:03,NBIS,BUY,0.5962,50.32,0.62
2025-07-02 10:35:04,ZNTL,BUY,25,1.2,0.6
2025-07-02 10:35:05,EXFY,BUY,11.5163,2.6,0.87
2025-07-02 11:14:35,KHC,BUY,1.1278,26.6,0.71
2025-07-02 11:14:36,PL,BUY,4.8701,6.16,0.84
2025-07-02 11:14:39,LDI,BUY,23.2558,1.29,0.75
2025-07-02 11:14:40,EXFY,BUY,11.5163,2.6,0.87
2025-07-03 08:54:17,PL,BUY,4.886,6.14,0.79
2025-07-03 08:54:22,EXFY,BUY,12,2.5,0.72
2025-07-03 09:07:23,PL,BUY,4.886,6.14,0.79
2025-07-03 09:07:27,EXFY,BUY,12,2.5,0.72
2025-07-03 09:19:23,PL,BUY,4.886,6.14,0.79
2025-07-03 09:19:28,EXFY,BUY,12,2.5,0.72
2025-07-03 10:37:12,TSLS,BUY,3,7.85,0.72
2025-07-03 10:37:16,ZNTL,SELL,24.2915,1.24,0.71
2025-07-04 10:44:53,META,FALLBACK_SELL,6.9308,718.89,N/A
2025-07-05 09:17:13,KHC,BUY,1.1261,26.64,0.8
2025-07-05 09:17:15,LDI,BUY,23.3463,1.28,0.73
2025-07-05 09:17:17,NBIS,BUY,0.5974,50.22,0.94
2025-07-05 09:17:18,ZNTL,BUY,23.9044,1.25,0.75
2025-07-06 08:00:18,KHC,BUY,1.1261,26.64,0.8
2025-07-06 08:00:20,LDI,BUY,23.3463,1.28,0.73
2025-07-06 08:00:21,NBIS,BUY,0.5974,50.22,0.94
2025-07-06 08:00:22,ZNTL,BUY,23.9044,1.25,0.75
2025-07-08 08:00:20,LDI,BUY,23.2558,1.29,0.75
2025-07-08 08:00:21,NBIS,BUY,0.6267,47.87,0.72
2025-07-09 08:00:16,KHC,BUY,1.1355,26.42,0.91
2025-07-09 08:00:18,TSLS,BUY,3,8.29,0.8
2025-07-09 08:00:19,AMAT,BUY,0.1538,195.05,0.77
2025-07-09 08:00:21,NBIS,BUY,0.6363,47.15,0.79
2025-07-10 10:18:00,AMAT,FALLBACK_SELL,0.1538,195.38,N/A
2025-07-10 10:18:01,AMZN,FALLBACK_SELL,13.4487,222.45,N/A
2025-07-10 10:18:02,EXFY,FALLBACK_SELL,82.0874,2.38,N/A
2025-07-10 10:18:03,KHC,FALLBACK_SELL,5.6812,26.44,N/A
2025-07-10 10:18:04,NBIS,FALLBACK_SELL,2.4554,46.06,N/A
2025-07-10 10:42:24,LDI,SELL,19.7368,1.52,0.68
2025-07-11 08:39:35,AMZN,FALLBACK_SELL,13.4487,222.3,N/A
2025-07-11 08:39:36,KHC,FALLBACK_SELL,5.6812,26.48,N/A
2025-07-11 08:47:19,AMZN,FALLBACK_SELL,13.4487,222.3,N/A
2025-07-11 08:47:20,KHC,FALLBACK_SELL,5.6812,26.48,N/A
2025-07-11 09:10:22,AMZN,FALLBACK_SELL,13.4487,222.3,N/A
2025-07-11 09:10:24,KHC,FALLBACK_SELL,5.6812,26.48,N/A
2025-07-19 08:31:11,KOS,BUY,14.8883,2.02,0.8
2025-07-19 08:31:13,SMFG,BUY,2.064,14.54,0.88
2025-07-19 08:33:55,KOS,BUY,14.8883,2.02,0.8
2025-07-19 08:33:57,SMFG,BUY,2.064,14.54,0.88
2025-07-21 23:30:04,KOS,BUY,14.8883,2.02,0.8
2025-07-21 23:30:06,SMFG,BUY,2.0492,14.64,0.88
2025-07-22 05:45:04,KMI,FALLBACK_SELL,100.0,27.05,N/A
2025-07-22 23:30:05,APA,BUY,1.6129,18.6,0.95
2025-07-23 05:45:05,KOS,FALLBACK_SELL,59.5532,2.04,N/A
2025-07-23 23:30:08,APA,BUY,1.5919,18.84,0.87
2025-07-23 23:30:10,SKBL,BUY,15,1.94,0.94
2025-07-24 23:30:05,BTM,BUY,5,5.49,0.82
2025-07-24 23:30:07,LYB,BUY,0.4462,67.23,0.91
2025-07-25 05:45:08,SKBL,FALLBACK_SELL,15.0,0.78,N/A
2025-07-25 23:30:05,PCG,BUY,2.1645,13.86,0.84
2025-07-25 23:30:07,RGTI,BUY,1.8921,15.86,0.95
2025-07-26 05:45:05,BTM,FALLBACK_SELL,5.0,5.34,N/A
2025-07-28 23:30:06,TPR,BUY,0.277,108.31,0.81
2025-07-28 23:30:08,VUZI,BUY,13.2159,2.27,0.81
2025-07-29 05:45:06,LYB,FALLBACK_SELL,0.4462,62.63,N/A
2025-07-29 05:45:08,RGTI,FALLBACK_SELL,1.8921,15.41,N/A
2025-07-29 10:28:42,VUZI,BUY,13.544,2.21,0.81
2025-07-29 23:30:12,VUZI,BUY,13.6674,2.21,0.81
2025-07-30 05:45:08,TPR,FALLBACK_SELL,0.277,106.94,N/A
2025-07-30 09:03:38,HPP,BUY,10.1833,2.45,0.89
2025-07-30 09:03:40,MTG,BUY,0.9731,25.68,0.94
2025-07-30 09:03:42,VSAT,BUY,1.6995,14.69,0.95
